ticker,exchange,fiscal_month
SANOMA,HE,12
SBI,HE,12
SCANFL,HE,12
SFOODS,HE,12
SIILI,HE,12
SITOWS,HE,12
SOLWERS,HE,12
SPINN,HE,12
SRV1V,HE,12
SSH1V,HE,12
STERV,HE,12
SUY1V,HE,12
TAALA,HE,12
TAMTRON,HE,12
TEKOVA,HE,12
TEM1V,HE,12
TIETO,HE,12
TITAN,HE,12
TLT1V,HE,12
TNOM,HE,12
TOKMAN,HE,12
TTALO,HE,12
TULAV,HE,12
TYRES,HE,12
UNITED,HE,12
UPM,HE,12
VAIAS,HE,12
VALMT,HE,12
VERK,HE,12
VIAFIN,HE,12
VIK1V,HE,12
WETTERI,HE,12
WITTED,HE,12
WRT1V,HE,12
WUF1V,HE,12
YIT,HE,12
A5G,IR,12
BIRG,IR,12
DQ7A,IR,8
EG7,IR,12
GL9,IR,1
GRP,IR,12
GVR,IR,12
KRX,IR,12
KRZ,IR,12
MLC,IR,12
OIZ,IR,7
PTSB,IR,12
RYA,IR,3
SENUS,IR,12
UPR,IR,12
ALSMB,LS,12
ALTR,LS,12
BCP,LS,12
CDU,LS,12
COR,LS,12
CTT,LS,12
EDP,LS,12
EDPR,LS,12
EGL,LS,12
ESON,LS,12
FCP,LS,6
FLEXD,LS,12
GALP,LS,12
GLINT,LS,12
IBS,LS,12
IPR,LS,12
JMT,LS,12
MAR,LS,12
MCP,LS,12
MLCIA,LS,12
MLCVI,LS,12
MLFMV,LS,12
MLRZE,LS,12
NOS,LS,12
NVG,LS,12
PHR,LS,12
RAM,LS,12
RENE,LS,12
SCB,LS,6
SCP,LS,6
SCT,LS,12
SEM,LS,12
SLBEN,LS,6
SNC,LS,12
SNG,LS,12
SON,LS,12
TDSA,LS,12
VAF,LS,12
3IN,LSE,3
AAEV,LSE,3
AAF,LSE,3
AAL,LSE,12
AAS,LSE,7
AATG,LSE,12
ABDN,LSE,12
ABF,LSE,9
ACG,LSE,12
ADM,LSE,12
AEI,LSE,9
AEP,LSE,12
AEWU,LSE,3
AGT,LSE,9
AIE,LSE,6
AJB,LSE,9
ALFA,LSE,12
ALTN,LSE,12
ALW,LSE,12
AML,LSE,12
ANII,LSE,3
ANTO,LSE,12
AO.,LSE,12
APN,LSE,7
ARR,LSE,12
ASAI,LSE,12
ASC,LSE,8
ASHM,LSE,6
ASL,LSE,12
AT.,LSE,12
ATG,LSE,9
ATR,LSE,12
ATT,LSE,11
ATYM,LSE,12
AUSC,LSE,6
AUTO,LSE,3
AV.,LSE,12
AVON,LSE,9
AZN,LSE,12
BA.,LSE,12
BAB,LSE,3
BAG,LSE,1
BARC,LSE,12
BASC,LSE,6
BATS,LSE,12
BBY,LSE,12
BCG,LSE,4
BEZ,LSE,12
BGCG,LSE,1
BGEO,LSE,12
BGEU,LSE,9
BGFD,LSE,8
BGS,LSE,1
BGUK,LSE,4
BHMG,LSE,12
BIOG,LSE,3
BIPS,LSE,12
BKG,LSE,4
BLND,LSE,3
BMD,LSE,9
BME,LSE,3
BMY,LSE,2
BNKR,LSE,10
BNZL,LSE,12
BOOK,LSE,12
BOOT,LSE,12
BOWL,LSE,9
BOY,LSE,12
BP.,LSE,12
BPCR,LSE,12
BPT,LSE,12
BRBY,LSE,3
BREE,LSE,12
BRK,LSE,6
BSC,LSE,12
BSV,LSE,3
BT.A,LSE,12
BTRW,LSE,6
BUT,LSE,12
BVT,LSE,9
BWY,LSE,7
BYIT,LSE,2
CABP,LSE,12
CAN,LSE,12
CAPD,LSE,12
CARD,LSE,1
CBG,LSE,7
CCC,LSE,12
CCH,LSE,12
CCR,LSE,2
CGEO,LSE,12
CGL,LSE,12
CGT,LSE,3
CHG,LSE,10
CKN,LSE,12
CLDN,LSE,3
CLIG,LSE,6
CMCX,LSE,3
CNA,LSE,12
CNE,LSE,12
COA,LSE,12
CORD,LSE,3
COST,LSE,12
CPG,LSE,9
CPI,LSE,12
CRDA,LSE,12
CRE,LSE,12
CREI,LSE,3
CRN,LSE,12
CRST,LSE,10
CRWN,LSE,6
CSN,LSE,12
CTEC,LSE,12
CTPE,LSE,12
CTUK,LSE,9
CTY,LSE,6
CURY,LSE,5
CVSG,LSE,6
CWK,LSE,3
CWR,LSE,6
DAR,LSE,12
DATA,LSE,12
DCC,LSE,3
DFS,LSE,6
DGE,LSE,6
DIG,LSE,1
DNLM,LSE,6
DOCS,LSE,3
DOM,LSE,12
DPLM,LSE,9
DRX,LSE,12
DSCV,LSE,3
ECOR,LSE,12
EDIN,LSE,3
EGL,LSE,9
ELIX,LSE,12
ELM,LSE,12
EMG,LSE,12
ENOG,LSE,12
ENQ,LSE,12
ENRG,LSE,6
ENT,LSE,12
EOT,LSE,5
ESCT,LSE,6
ESNT,LSE,12
EVOK,LSE,12
EWG,LSE,12
EWI,LSE,10
EXPN,LSE,3
EZJ,LSE,9
FAN,LSE,7
FAS,LSE,7
FCH,LSE,12
FCIT,LSE,12
FEML,LSE,6
FEV,LSE,12
FGEN,LSE,3
FGP,LSE,3
FGT,LSE,9
FORT,LSE,12
FOUR,LSE,12
FRAS,LSE,4
FRES,LSE,12
FSFL,LSE,12
FSG,LSE,3
FSJ,LSE,12
FSTA,LSE,3
FSV,LSE,8
FTF,LSE,3
FTV,LSE,12
FUTR,LSE,9
GAMA,LSE,12
GAW,LSE,6
GBG,LSE,3
GCP,LSE,9
GDWN,LSE,4
GEN,LSE,12
GENL,LSE,12
GFRD,LSE,6
GFTU,LSE,12
GHV1,LSE,9
GHV2,LSE,12
GKP,LSE,12
GLE,LSE,6
GLEN,LSE,12
GMS,LSE,12
GNC,LSE,9
GNS,LSE,6
GRG,LSE,12
GRID,LSE,12
GROW,LSE,3
GSCT,LSE,4
GSF,LSE,3
GSK,LSE,12
GYM,LSE,12
HAN,LSE,3
HAS,LSE,6
HBR,LSE,12
HFD,LSE,3
HFEL,LSE,8
HFG,LSE,12
HGT,LSE,12
HHI,LSE,12
HICL,LSE,3
HIK,LSE,12
HILS,LSE,12
HLMA,LSE,3
HLN,LSE,12
HOC,LSE,12
HRI,LSE,12
HSBA,LSE,12
HSBK,LSE,12
HSL,LSE,5
HSX,LSE,12
HTG,LSE,12
HTWS,LSE,12
HVPE,LSE,1
HWDN,LSE,12
HWG,LSE,12
IAD,LSE,4
IAG,LSE,12
IBST,LSE,12
IBT,LSE,8
ICG,LSE,3
ICGC,LSE,12
ICGT,LSE,1
IDHC,LSE,12
IEM,LSE,12
IGG,LSE,12
IHG,LSE,12
IHP,LSE,9
IIG,LSE,9
III,LSE,3
IMB,LSE,9
IMI,LSE,12
INCH,LSE,12
INF,LSE,12
INPP,LSE,12
IPF,LSE,12
IPO,LSE,12
ITH,LSE,12
ITRK,LSE,12
ITV,LSE,12
IWG,LSE,12
JAGI,LSE,9
JAM,LSE,12
JCGI,LSE,9
JCH,LSE,12
JD.,LSE,12
JDW,LSE,7
JEDT,LSE,3
JEGI,LSE,3
JFJ,LSE,9
JGGI,LSE,6
JIGI,LSE,9
JMAT,LSE,3
JMGI,LSE,6
JSG,LSE,12
JTC,LSE,12
JUGI,LSE,7
JUP,LSE,12
JUSC,LSE,12
KGF,LSE,1
KIE,LSE,6
KLR,LSE,12
KMR,LSE,12
KNOS,LSE,3
LAND,LSE,3
LGEN,LSE,12
LIO,LSE,3
LLOY,LSE,12
LRE,LSE,12
LSEG,LSE,12
LSL,LSE,12
LUCE,LSE,12
LWDB,LSE,12
LWI,LSE,9
MAB,LSE,9
MAB1,LSE,12
MAJE,LSE,9
MARS,LSE,9
MCB,LSE,6
MEGP,LSE,10
MER,LSE,12
MGAM,LSE,12
MGCI,LSE,12
MGNS,LSE,12
MHPC,LSE,12
MKS,LSE,3
MLHL,LSE,12
MNDI,LSE,12
MNG,LSE,12
MNKS,LSE,4
MNL,LSE,7
MNTN,LSE,1
MONY,LSE,12
MOON,LSE,4
MRC,LSE,1
MRCH,LSE,1
MRO,LSE,12
MSLH,LSE,12
MTE,LSE,3
MTO,LSE,3
MTRO,LSE,12
MTVW,LSE,3
MUT,LSE,6
MWY,LSE,6
MYI,LSE,12
N91,LSE,3
NAIT,LSE,1
NAS,LSE,1
NBPE,LSE,12
NCC,LSE,9
NESF,LSE,3
NG.,LSE,11
NTN,LSE,3
NVT,LSE,9
NWG,LSE,12
NXR,LSE,3
NXT,LSE,1
OAP3,LSE,1
OCDO,LSE,11
OCI,LSE,12
OIT,LSE,3
ONT,LSE,12
ORIT,LSE,12
OSB,LSE,12
OTB,LSE,9
OTV2,LSE,10
OXB,LSE,12
OXIG,LSE,3
PAC,LSE,1
PAF,LSE,6
PAG,LSE,9
PAGE,LSE,12
PAY,LSE,3
PBEE,LSE,12
PCFT,LSE,11
PCT,LSE,4
PCTN,LSE,3
PEMB,LSE,3
PETS,LSE,3
PEY,LSE,12
PFD,LSE,3
PGOO,LSE,2
PHI,LSE,7
PIN,LSE,5
PINE,LSE,12
PINT,LSE,12
PLUS,LSE,12
PNL,LSE,4
PNN,LSE,3
POLN,LSE,12
PPET,LSE,9
PPH,LSE,12
PRE,LSE,6
PRN,LSE,12
PRTC,LSE,12
PRU,LSE,12
PRV,LSE,11
PSDL,LSE,12
PSH,LSE,12
PSN,LSE,12
PSON,LSE,12
PTEC,LSE,12
PVN,LSE,2
PZC,LSE,5
QLT,LSE,12
QQ.,LSE,12
RAT,LSE,12
RBW,LSE,6
RCH,LSE,12
RCP,LSE,12
RECI,LSE,3
REL,LSE,12
RHIM,LSE,12
RICA,LSE,6
RIO,LSE,12
RKT,LSE,12
RKW,LSE,3
RMV,LSE,12
RNK,LSE,6
ROR,LSE,12
ROSE,LSE,12
RPI,LSE,12
RR.,LSE,9
RS1,LSE,3
RSW,LSE,6
RTO,LSE,12
RTW,LSE,12
SAGA,LSE,1
SAIN,LSE,12
SBRE,LSE,12
SBRY,LSE,2
SCP,LSE,9
SCT,LSE,7
SDLF,LSE,12
SDP,LSE,9
SDR,LSE,12
SEIT,LSE,3
SEPL,LSE,12
SFOR,LSE,12
SGE,LSE,9
SHAW,LSE,12
SHC,LSE,12
SHEL,LSE,12
SHPP,LSE,6
SJG,LSE,7
SMIN,LSE,7
SMT,LSE,3
SMWH,LSE,8
SN.,LSE,12
SNR,LSE,12
SNWS,LSE,8
SPI,LSE,12
SPX,LSE,12
SRAD,LSE,12
SRE,LSE,3
SREI,LSE,3
SRP,LSE,12
SSE,LSE,3
SSPG,LSE,9
SST,LSE,8
STAN,LSE,12
STB,LSE,12
STEM,LSE,11
STJ,LSE,12
STS,LSE,3
SUS,LSE,2
SVS,LSE,12
SVT,LSE,3
SYNC,LSE,3
SYNT,LSE,12
TATE,LSE,3
TBCG,LSE,12
TBTG,LSE,12
TCAP,LSE,12
TEM,LSE,3
TEP,LSE,3
TET,LSE,9
THG,LSE,12
TLW,LSE,12
TMPL,LSE,12
TPK,LSE,12
TRIG,LSE,12
TRN,LSE,2
TRST,LSE,12
TRY,LSE,3
TSCO,LSE,2
TTG,LSE,12
